Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time (minutes),Genre,Rank,Review Count Range,combined_text,cleaned_text,cluster
Soft Skills: The Software Developer's Life Manual,John Sonmez,4.3,180,836.0,"For most software developers, coding is the fun part. The hard bits are dealing with clients, peers, and managers and staying productive, achieving financial security, keeping yourself in shape, and finding true love. This book is here to help. ",799.0,Programming,3,51-200,"Soft Skills: The Software Developer's Life Manual For most software developers, coding is the fun part. The hard bits are dealing with clients, peers, and managers and staying productive, achieving financial security, keeping yourself in shape, and finding true love. This book is here to help. ",soft skill software developer life manual software developer coding fun part hard bit dealing client peer manager staying productive achieving financial security keeping shape finding true love book help,0
"Thou Shall Prosper: Ten Commandments for Making Money, 2nd Edition",Rabbi Daniel Lapin,4.7,602,836.0,A practical approach to creating wealth-based on the established principles of ancient Jewish wisdom-made accessible to people of all backgrounds,1073.0,Judaism,9,501-1000,"Thou Shall Prosper: Ten Commandments for Making Money, 2nd Edition A practical approach to creating wealth-based on the established principles of ancient Jewish wisdom-made accessible to people of all backgrounds",thou shall prosper ten commandment making money nd edition practical approach creating wealthbased established principle ancient jewish wisdommade accessible people background,0
"Superfreakonomics: Global Cooling, Patriotic Prostitutes and Why Suicide Bombers Should Buy Life Insurance",Stephen J. Dubner,4.5,1154,683.0,"Penguin presents the audiobook edition of Superfreakonomics by Stephen J. Dubner and Steven Levitt, read by Stephen J. Dubner.",447.0,Microeconomics,2,1001-5000,"Superfreakonomics: Global Cooling, Patriotic Prostitutes and Why Suicide Bombers Should Buy Life Insurance Penguin presents the audiobook edition of Superfreakonomics by Stephen J. Dubner and Steven Levitt, read by Stephen J. Dubner.",superfreakonomics global cooling patriotic prostitute suicide bomber buy life insurance penguin present audiobook edition superfreakonomics stephen j dubner steven levitt read stephen j dubner,3
The Philosophy Book: Big Ideas Simply Explained,DK,4.6,994,1256.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999,501-1000,"The Philosophy Book: Big Ideas Simply Explained Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",philosophy book big idea simply explained sorry need make sure youre robot best result please make sure browser accepting cooky,1
"The China Study, Revised and Expanded Edition: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet, Weight Loss, and Long-Term Health",T. Colin Campbell PhD,4.8,1500,820.0,Here is the updated and expanded edition of the best seller that changed millions of lives. ,1082.0,Weight Loss Diets,15,1001-5000,"The China Study, Revised and Expanded Edition: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet, Weight Loss, and Long-Term Health Here is the updated and expanded edition of the best seller that changed millions of lives. ",china study revised expanded edition comprehensive study nutrition ever conducted startling implication diet weight loss longterm health updated expanded edition best seller changed million life,0
How Brands Grow: What Marketers Don't Know,Byron Sharp,4.5,174,668.0,"This audiobook provides evidence-based answers to the key questions asked by marketers every day. Tackling issues such as how brands grow, how advertising really works, what price promotions really do and how loyalty programs really affect loyalty, How Brands Grow presents decades of research in a style that is written for marketing professionals to grow their brands. ",394.0,Consumer Behaviour,11,51-200,"How Brands Grow: What Marketers Don't Know This audiobook provides evidence-based answers to the key questions asked by marketers every day. Tackling issues such as how brands grow, how advertising really works, what price promotions really do and how loyalty programs really affect loyalty, How Brands Grow presents decades of research in a style that is written for marketing professionals to grow their brands. ",brand grow marketer dont know audiobook provides evidencebased answer key question asked marketer every day tackling issue brand grow advertising really work price promotion really loyalty program really affect loyalty brand grow present decade research style written marketing professional grow brand,0
Inward,Yung Pueblo,4.9,1461,398.0,"True power is living the realization that you are your own healer, hero, and leader.",-60.0,Personal Success,999,1001-5000,"Inward True power is living the realization that you are your own healer, hero, and leader.",inward true power living realization healer hero leader,0
Profit First: Transform Your Business from a Cash-Eating Monster to a Money-Making Machine,Mike Michalowicz,4.8,1959,703.0,"The author of cult classics The Pumpkin Plan and The Toilet Paper Entrepreneur offers a simple, counterintuitive cash management solution that will help small businesses break out of the doom spiral and achieve instant profitability. ",515.0,International Business,13,1001-5000,"Profit First: Transform Your Business from a Cash-Eating Monster to a Money-Making Machine The author of cult classics The Pumpkin Plan and The Toilet Paper Entrepreneur offers a simple, counterintuitive cash management solution that will help small businesses break out of the doom spiral and achieve instant profitability. ",profit first transform business casheating monster moneymaking machine author cult classic pumpkin plan toilet paper entrepreneur offer simple counterintuitive cash management solution help small business break doom spiral achieve instant profitability,0
Passage Meditation - A Complete Spiritual Practice: Train Your Mind and Find a Life That Fulfills,Eknath Easwaran,4.7,189,350.0,"Easwaran's classic manual is a unique source of practical spiritual support for new and experienced meditators and gives all the instruction needed to establish a vibrant meditation practice and keep it going. In passage meditation you focus attention on passages, or texts, drawn from all the world's sacred traditions. You choose the passages that appeal to you, so this universal method stays fresh and inspiring, prompting you to live out your highest ideals.",495.0,Psychology Movements,3,51-200,"Passage Meditation - A Complete Spiritual Practice: Train Your Mind and Find a Life That Fulfills Easwaran's classic manual is a unique source of practical spiritual support for new and experienced meditators and gives all the instruction needed to establish a vibrant meditation practice and keep it going. In passage meditation you focus attention on passages, or texts, drawn from all the world's sacred traditions. You choose the passages that appeal to you, so this universal method stays fresh and inspiring, prompting you to live out your highest ideals.",passage meditation complete spiritual practice train mind find life fulfills easwarans classic manual unique source practical spiritual support new experienced meditators give instruction needed establish vibrant meditation practice keep going passage meditation focus attention passage text drawn world sacred tradition choose passage appeal universal method stay fresh inspiring prompting live highest ideal,0
The Brave: Param Vir Chakra Stories,Rachna Bisht,4.7,568,1005.0,Twenty-one riveting stories from the battlefield about how India's highest military honor was won,490.0,Indian History,17,501-1000,The Brave: Param Vir Chakra Stories Twenty-one riveting stories from the battlefield about how India's highest military honor was won,brave param vir chakra story twentyone riveting story battlefield india highest military honor,0
The Girl of My Dreams,Durjoy Datta,4.3,1051,879.0,We are in the car. She’s looking at me. I can see the love in her eyes for me. Then a huge crash. She’s flung out of the window. I’m thrown out too. A pool of blood. Her eyes are still on me...but now it’s a death stare.,463.0,Fantasy Romance,5,1001-5000,The Girl of My Dreams We are in the car. She’s looking at me. I can see the love in her eyes for me. Then a huge crash. She’s flung out of the window. I’m thrown out too. A pool of blood. Her eyes are still on me...but now it’s a death stare.,girl dream car shes looking see love eye huge crash shes flung window im thrown pool blood eye still mebut death stare,0
The Story of World War II,Donald L. Miller,4.4,45,1338.0,"Drawing on previously unpublished eyewitness accounts, prizewinning historian Donald L. Miller has written what critics are calling one of the most powerful accounts of warfare ever published. Here are the horror and heroism of World War II in the words of the men who fought it, the journalists who covered it, and the civilians who were caught in its fury. Miller gives us an up-close, deeply personal view of a war that was more savagely fought - and whose outcome was in greater doubt - than one might imagine. This is the war that Americans on the home front would have read about had they had access to the previously censored testimony of the soldiers on which Miller builds his gripping narrative. ",1492.0,World War II History,8,0-50,"The Story of World War II Drawing on previously unpublished eyewitness accounts, prizewinning historian Donald L. Miller has written what critics are calling one of the most powerful accounts of warfare ever published. Here are the horror and heroism of World War II in the words of the men who fought it, the journalists who covered it, and the civilians who were caught in its fury. Miller gives us an up-close, deeply personal view of a war that was more savagely fought - and whose outcome was in greater doubt - than one might imagine. This is the war that Americans on the home front would have read about had they had access to the previously censored testimony of the soldiers on which Miller builds his gripping narrative. ",story world war ii drawing previously unpublished eyewitness account prizewinning historian donald l miller written critic calling one powerful account warfare ever published horror heroism world war ii word men fought journalist covered civilian caught fury miller give u upclose deeply personal view war savagely fought whose outcome greater doubt one might imagine war american home front would read access previously censored testimony soldier miller build gripping narrative,0
Neville Goddard: The Complete Reader,Neville Goddard,4.8,391,836.0,"Neville Goddard: The Complete Reader, Includes all 10 of Neville Goddard's Spiritual Classics: At Your Command, Awakened Imagination & the Search, Feeling is the Secret, Freedom For All, Out of This World, Prayer, The Art of Believing, Seedtime and Harvest, The Law and The Promise, The Power of Awareness, and Your Faith Is Your Fortune.",886.0,Mysticism,4,201-500,"Neville Goddard: The Complete Reader Neville Goddard: The Complete Reader, Includes all 10 of Neville Goddard's Spiritual Classics: At Your Command, Awakened Imagination & the Search, Feeling is the Secret, Freedom For All, Out of This World, Prayer, The Art of Believing, Seedtime and Harvest, The Law and The Promise, The Power of Awareness, and Your Faith Is Your Fortune.",neville goddard complete reader neville goddard complete reader includes neville goddard spiritual classic command awakened imagination search feeling secret freedom world prayer art believing seedtime harvest law promise power awareness faith fortune,0
Exactly What to Say: The Magic Words for Influence and Impact,Phil M. Jones,4.5,1023,233.0,"Often the decision between a customer choosing you over someone like you is your ability to know exactly what to say, when to say it, and how to make it count. Phil M. Jones has trained more than two million people across five continents and over 50 countries in the lost art of spoken communication. In Exactly What to Say, he delivers the tactics you need to get more of what you want.",74.0,Consumer Behaviour,3,1001-5000,"Exactly What to Say: The Magic Words for Influence and Impact Often the decision between a customer choosing you over someone like you is your ability to know exactly what to say, when to say it, and how to make it count. Phil M. Jones has trained more than two million people across five continents and over 50 countries in the lost art of spoken communication. In Exactly What to Say, he delivers the tactics you need to get more of what you want.",exactly say magic word influence impact often decision customer choosing someone like ability know exactly say say make count phil jones trained two million people across five continent country lost art spoken communication exactly say delivers tactic need get want,0
Capital in the Twenty-First Century,Thomas Piketty,4.5,2153,1338.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999,1001-5000,"Capital in the Twenty-First Century 

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",capital twentyfirst century oops rush hour traffic piling page please try short whileif trying place order processed time go amazonin home page continue shopping,2
My Lovely Wife,Samantha Downing,4.3,1680,888.0,"Penguin presents the audiobook edition of My Lovely Wife, by Samantha Downing",613.0,Domestic Thrillers,1,1001-5000,"My Lovely Wife Penguin presents the audiobook edition of My Lovely Wife, by Samantha Downing",lovely wife penguin present audiobook edition lovely wife samantha downing,3
"We Are Legion (We Are Bob): Bobiverse, Book 1",Dennis E. Taylor,4.6,1661,668.0,"There's a reason We Are Legion, We Are Bob was named Audible's Best Science Fiction Book of 2016: its irresistibly irreverent wit! Bob Johansson has just sold his software company for a small fortune and is looking forward to a life of leisure. The first item on his to-do list: spending his newfound windfall. On an urge to splurge, he signs up to have his head cryogenically preserved in case of death. Then he gets himself killed crossing the street. Waking up 117 years later, Bob discovers his mind has been uploaded into a sentient space probe with the ability to replicate itself. Bob and his clones are on a mission to find new homes for humanity and boldly go where no Bob has gone before.",596.0,First Contact Science Fiction,3,1001-5000,"We Are Legion (We Are Bob): Bobiverse, Book 1 There's a reason We Are Legion, We Are Bob was named Audible's Best Science Fiction Book of 2016: its irresistibly irreverent wit! Bob Johansson has just sold his software company for a small fortune and is looking forward to a life of leisure. The first item on his to-do list: spending his newfound windfall. On an urge to splurge, he signs up to have his head cryogenically preserved in case of death. Then he gets himself killed crossing the street. Waking up 117 years later, Bob discovers his mind has been uploaded into a sentient space probe with the ability to replicate itself. Bob and his clones are on a mission to find new homes for humanity and boldly go where no Bob has gone before.",legion bob bobiverse book there reason legion bob named audible best science fiction book irresistibly irreverent wit bob johansson sold software company small fortune looking forward life leisure first item todo list spending newfound windfall urge splurge sign head cryogenically preserved case death get killed crossing street waking year later bob discovers mind uploaded sentient space probe ability replicate bob clone mission find new home humanity boldly go bob gone,0
"Winnie-the-Pooh: A.A. Milne's Pooh Classics, Volume 1",A. A. Milne,4.7,898,468.0,"Blackstone Audiobooks presents, from the unabridged collection A.A. Milne's Pooh Classics, the 10 stories of Winnie-the-Pooh performed by Peter Dennis. This is the only reading of these immortal stories authorized by A.A. Milne's son, Christopher Robin, who wrote, ""Peter Dennis has made himself Pooh's Ambassador Extraordinare and no bear has ever had a more devoted friend. So if you want to meet the real Pooh, the bear I knew, the bear my father wrote about, listen to Peter.""",166.0,Bears Fiction for Children,1,501-1000,"Winnie-the-Pooh: A.A. Milne's Pooh Classics, Volume 1 Blackstone Audiobooks presents, from the unabridged collection A.A. Milne's Pooh Classics, the 10 stories of Winnie-the-Pooh performed by Peter Dennis. This is the only reading of these immortal stories authorized by A.A. Milne's son, Christopher Robin, who wrote, ""Peter Dennis has made himself Pooh's Ambassador Extraordinare and no bear has ever had a more devoted friend. So if you want to meet the real Pooh, the bear I knew, the bear my father wrote about, listen to Peter.""",winniethepooh aa milne pooh classic volume blackstone audiobooks present unabridged collection aa milne pooh classic story winniethepooh performed peter dennis reading immortal story authorized aa milne son christopher robin wrote peter dennis made poohs ambassador extraordinare bear ever devoted friend want meet real pooh bear knew bear father wrote listen peter,0
The Night Circus,Erin Morgenstern,4.4,7351,888.0,"Telling her tale with all the attention to detail that has led fans to compare her to such literary greats as H. G. Wells, Erin Morgenstern's world is as dark and thrilling as it is monochromatic.",819.0,Women Biographies,999,5001-20000,"The Night Circus Telling her tale with all the attention to detail that has led fans to compare her to such literary greats as H. G. Wells, Erin Morgenstern's world is as dark and thrilling as it is monochromatic.",night circus telling tale attention detail led fan compare literary great h g well erin morgensterns world dark thrilling monochromatic,0
How Clients Buy: A Practical Guide to Business Development for Consulting and Professional Services,Tom McMakin,4.6,57,586.0,The real-world guide to selling your services and bringing in business....,394.0,Business Consulting,3,51-200,How Clients Buy: A Practical Guide to Business Development for Consulting and Professional Services The real-world guide to selling your services and bringing in business....,client buy practical guide business development consulting professional service realworld guide selling service bringing business,0
The Little Book of Market Wizards: Lessons from the Greatest Traders,Jack D. Schwager,3.7,14,501.0,An accessible look at the art of investing and how to adopt the practices of top professionals ,229.0,Marketing,52,0-50,The Little Book of Market Wizards: Lessons from the Greatest Traders An accessible look at the art of investing and how to adopt the practices of top professionals ,little book market wizard lesson greatest trader accessible look art investing adopt practice top professional,0
Vaishali Ki Nagarvadhu [City of Vaishali],Acharya Chatursen,4.2,128,1171.0,‘I take back all my books thus far and declare Vaishali ki Nagarvadhu as my only work.’ (Acharya Chatursen)  ,1433.0,Classic Literature,35,51-200,Vaishali Ki Nagarvadhu [City of Vaishali] ‘I take back all my books thus far and declare Vaishali ki Nagarvadhu as my only work.’ (Acharya Chatursen)  ,vaishali ki nagarvadhu city vaishali take back book thus far declare vaishali ki nagarvadhu work acharya chatursen,0
The Overstory,Richard Powers,4.4,660,1093.0,Brought to you by Penguin. ,1378.0,Metaphysical & Visionary Fiction,7,501-1000,The Overstory Brought to you by Penguin. ,overstory brought penguin,3
A Book of Simple Living: Brief Notes from the Hills,Ruskin Bond,4.8,166,233.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999,51-200,"A Book of Simple Living: Brief Notes from the Hills 

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",book simple living brief note hill oops rush hour traffic piling page please try short whileif trying place order processed time go amazonin home page continue shopping,2
Secrets of Closing the Sale,Zig Ziglar,4.6,277,1171.0,"Zig Ziglar provides vital strategies for specific closes, hundreds of sales questions, and dozens of persuasion techniques to help everyone sell their ideas, or themselves. No matter what your age, gender, occupation, or lifestyle, these proven techniques from America's selling sensation can work for you.",914.0,Personal Success,999,201-500,"Secrets of Closing the Sale Zig Ziglar provides vital strategies for specific closes, hundreds of sales questions, and dozens of persuasion techniques to help everyone sell their ideas, or themselves. No matter what your age, gender, occupation, or lifestyle, these proven techniques from America's selling sensation can work for you.",secret closing sale zig ziglar provides vital strategy specific close hundred sale question dozen persuasion technique help everyone sell idea matter age gender occupation lifestyle proven technique america selling sensation work,0
Captivate: The Science of Succeeding with People,Vanessa Van Edwards,4.6,730,683.0,"Penguin presents the unabridged downloadable audiobook edition of Captivate: The Science of Succeeding with People, written and read by Vanessa Van Edwards. ",-60.0,Lifestyle & Personal Style Guides,999,501-1000,"Captivate: The Science of Succeeding with People Penguin presents the unabridged downloadable audiobook edition of Captivate: The Science of Succeeding with People, written and read by Vanessa Van Edwards. ",captivate science succeeding people penguin present unabridged downloadable audiobook edition captivate science succeeding people written read vanessa van edward,3
Lean vs Agile vs Design Thinking: What You Really Need to Know to Build High-Performing Digital Product Teams,Jeff Gothelf,3.3,87,132.0,"As companies evolve to adopt, integrate, and leverage software as the defining element of their success in the 21st century, a rash of processes and methodologies are vying for their product teams' attention. In the worst of cases, each discipline on these teams - product management, design, and software engineering - learn a different model. This short, tactical book reconciles the perceived differences in Lean Startup, Design Thinking, and Agile software development by focusing not on rituals and practices but on the values that underpin all three methods. ",2700.0,Power Resource Engineering,1,51-200,"Lean vs Agile vs Design Thinking: What You Really Need to Know to Build High-Performing Digital Product Teams As companies evolve to adopt, integrate, and leverage software as the defining element of their success in the 21st century, a rash of processes and methodologies are vying for their product teams' attention. In the worst of cases, each discipline on these teams - product management, design, and software engineering - learn a different model. This short, tactical book reconciles the perceived differences in Lean Startup, Design Thinking, and Agile software development by focusing not on rituals and practices but on the values that underpin all three methods. ",lean v agile v design thinking really need know build highperforming digital product team company evolve adopt integrate leverage software defining element success st century rash process methodology vying product team attention worst case discipline team product management design software engineering learn different model short tactical book reconciles perceived difference lean startup design thinking agile software development focusing ritual practice value underpin three method,0
The Glass Hotel,Emily St. John Mandel,4.1,844,323.0,"The Glass Hotel begins at the end, with a fall: a woman plummeting from the deck of a cargo ship, her body quickly swallowed by the sea. It is a death that happens between continents, outside of jurisdictions: a death that will likely go unremarked and unsolved. ",628.0,Dystopian Science Fiction,9,501-1000,"The Glass Hotel The Glass Hotel begins at the end, with a fall: a woman plummeting from the deck of a cargo ship, her body quickly swallowed by the sea. It is a death that happens between continents, outside of jurisdictions: a death that will likely go unremarked and unsolved. ",glass hotel glass hotel begin end fall woman plummeting deck cargo ship body quickly swallowed sea death happens continent outside jurisdiction death likely go unremarked unsolved,0
"Coaching for Performance, Fourth Edition: GROWing Human Potential and Purpose - The Principles and Practice of Coaching and Leadership",John Whitmore,4.5,184,680.0,"Coaching is a way of managing, a way of treating people, a way of thinking, a way of being. Coaching has matured into an invaluable profession fit for our times and this fourth edition of the most widely read coaching book takes it to the next frontier. ",421.0,Mentoring & Coaching,11,51-200,"Coaching for Performance, Fourth Edition: GROWing Human Potential and Purpose - The Principles and Practice of Coaching and Leadership Coaching is a way of managing, a way of treating people, a way of thinking, a way of being. Coaching has matured into an invaluable profession fit for our times and this fourth edition of the most widely read coaching book takes it to the next frontier. ",coaching performance fourth edition growing human potential purpose principle practice coaching leadership coaching way managing way treating people way thinking way coaching matured invaluable profession fit time fourth edition widely read coaching book take next frontier,0
"Your Brain at Work: Strategies for Overcoming Distraction, Regaining Focus, and Working Smarter All Day Long",David Rock,4.6,449,13345.0,"Meet Emily and Paul: The parents of two young children, Emily is the newly promoted VP of marketing at a large corporation while Paul works from home or from clients' offices as an independent IT consultant. Their lives, like all of ours, are filled with a bewildering blizzard of emails, phone calls, yet more emails, meetings, projects, proposals, and plans. Just staying ahead of the storm has become a seemingly insurmountable task.",582.0,Business Decision Making & Problem Solving,15,201-500,"Your Brain at Work: Strategies for Overcoming Distraction, Regaining Focus, and Working Smarter All Day Long Meet Emily and Paul: The parents of two young children, Emily is the newly promoted VP of marketing at a large corporation while Paul works from home or from clients' offices as an independent IT consultant. Their lives, like all of ours, are filled with a bewildering blizzard of emails, phone calls, yet more emails, meetings, projects, proposals, and plans. Just staying ahead of the storm has become a seemingly insurmountable task.",brain work strategy overcoming distraction regaining focus working smarter day long meet emily paul parent two young child emily newly promoted vp marketing large corporation paul work home client office independent consultant life like filled bewildering blizzard email phone call yet email meeting project proposal plan staying ahead storm become seemingly insurmountable task,0
Rich Dad's Before You Quit Your Job: 10 Real-Life Lessons Every Entrepreneur Should Know About Building a Multimillion-Dollar Business,Robert T. Kiyosaki,4.7,187,670.0,"When Before You Quit Your Job was written and published, it was a guidebook for aspiring entrepreneurs. Today - with the job market in shambles, overseas outsourcing and high unemployment - it can be a path to the salvation so many are looking for: A way take control of their life and use their skills and talents to create their future.",478.0,New Business Enterprises,5,51-200,"Rich Dad's Before You Quit Your Job: 10 Real-Life Lessons Every Entrepreneur Should Know About Building a Multimillion-Dollar Business When Before You Quit Your Job was written and published, it was a guidebook for aspiring entrepreneurs. Today - with the job market in shambles, overseas outsourcing and high unemployment - it can be a path to the salvation so many are looking for: A way take control of their life and use their skills and talents to create their future.",rich dad quit job reallife lesson every entrepreneur know building multimilliondollar business quit job written published guidebook aspiring entrepreneur today job market shamble overseas outsourcing high unemployment path salvation many looking way take control life use skill talent create future,0
A Children's History of India,Subhadra Sen Gupta,4.4,291,836.0,"Which were the first cities of India, and how were they discovered? What was it like living in Mughal times? How did the British, who had come to trade in India, end up ruling thecountry? How has India changed after Independence? ",709.0,Asian History for Children,1,201-500,"A Children's History of India Which were the first cities of India, and how were they discovered? What was it like living in Mughal times? How did the British, who had come to trade in India, end up ruling thecountry? How has India changed after Independence? ",childrens history india first city india discovered like living mughal time british come trade india end ruling thecountry india changed independence,0
If Tomorrow Comes,Sidney Sheldon,4.5,1240,702.0,"Tracy Whitney is on top of the world. She is young, beautiful, intelligent, and about to marry into wealth and glamour until, betrayed by her own innocence, she finds herself in prison, framed by a ruthless mafia gang and abandoned by the man she loves. Beaten and broken, but surviving with stunning ingenuity, Tracy emerges from her savage ordeal determined to avenge herself from those who have destroyed her life. From New Orleans to London to Paris to Madrid to Amsterdam, Tracy plays for the highest stakes in a deadly game. Only one man can challenge her - he is handsome, persuasive, and every bit as daring. And only one man can stop her - he is an evil genius whose only hope of salvation is to destroy Tracy. ",756.0,Espionage Thrillers,17,1001-5000,"If Tomorrow Comes Tracy Whitney is on top of the world. She is young, beautiful, intelligent, and about to marry into wealth and glamour until, betrayed by her own innocence, she finds herself in prison, framed by a ruthless mafia gang and abandoned by the man she loves. Beaten and broken, but surviving with stunning ingenuity, Tracy emerges from her savage ordeal determined to avenge herself from those who have destroyed her life. From New Orleans to London to Paris to Madrid to Amsterdam, Tracy plays for the highest stakes in a deadly game. Only one man can challenge her - he is handsome, persuasive, and every bit as daring. And only one man can stop her - he is an evil genius whose only hope of salvation is to destroy Tracy. ",tomorrow come tracy whitney top world young beautiful intelligent marry wealth glamour betrayed innocence find prison framed ruthless mafia gang abandoned man love beaten broken surviving stunning ingenuity tracy emerges savage ordeal determined avenge destroyed life new orleans london paris madrid amsterdam tracy play highest stake deadly game one man challenge handsome persuasive every bit daring one man stop evil genius whose hope salvation destroy tracy,0
Memory Man,David Baldacci,4.5,12111,323.0,"The next novel from the best-selling crime author David Baldacci. Amos Decker is a former professional football player whose career was ended by a terrible hit. Now a police detective, Amos is still haunted by a side effect from the accident he can never forget. ",796.0,Private Investigator Mysteries,3,5001-20000,"Memory Man The next novel from the best-selling crime author David Baldacci. Amos Decker is a former professional football player whose career was ended by a terrible hit. Now a police detective, Amos is still haunted by a side effect from the accident he can never forget. ",memory man next novel bestselling crime author david baldacci amos decker former professional football player whose career ended terrible hit police detective amos still haunted side effect accident never forget,0
"Scaling Up: How a Few Companies Make It...and Why the Rest Don't, Rockefeller Habits 2.0",Verne Harnish,4.7,705,668.0,"It's been over a decade since Verne Harnish's best-selling book Mastering the Rockefeller Habits was first released. Scaling Up: How a Few Companies Make It...and Why the Rest Don't is the first major revision of this business classic. In Scaling Up, Harnish and his team share practical tools and techniques for building an industry-dominating business. These approaches have been honed from over three decades of advising tens of thousands of CEOs and executives and helping them navigate the increasing complexities (and weight) that come with scaling up a venture. ",529.0,Non-Profits & Charities,6,501-1000,"Scaling Up: How a Few Companies Make It...and Why the Rest Don't, Rockefeller Habits 2.0 It's been over a decade since Verne Harnish's best-selling book Mastering the Rockefeller Habits was first released. Scaling Up: How a Few Companies Make It...and Why the Rest Don't is the first major revision of this business classic. In Scaling Up, Harnish and his team share practical tools and techniques for building an industry-dominating business. These approaches have been honed from over three decades of advising tens of thousands of CEOs and executives and helping them navigate the increasing complexities (and weight) that come with scaling up a venture. ",scaling company make itand rest dont rockefeller habit decade since verne harnishs bestselling book mastering rockefeller habit first released scaling company make itand rest dont first major revision business classic scaling harnish team share practical tool technique building industrydominating business approach honed three decade advising ten thousand ceo executive helping navigate increasing complexity weight come scaling venture,0
The Far Field: A Novel,Madhuri Vijay,4.4,127,1172.0,"In the wake of her mother's death, Shalini, a privileged and restless young woman from Bangalore, sets out for a remote Himalayan village in the troubled northern region of Kashmir. Certain that the loss of her mother is somehow connected to the decade-old disappearance of Bashir Ahmed, a charming Kashmiri salesman who frequented her childhood home, she is determined to confront him. But upon her arrival, Shalini is brought face to face with Kashmir's politics, as well as the tangled history of the local family that takes her in. And when life in the village turns volatile and old hatreds threaten to erupt into violence, Shalini finds herself forced to make a series of choices that could hold dangerous repercussions for the very people she has come to love.",840.0,Literary Fiction,43,51-200,"The Far Field: A Novel In the wake of her mother's death, Shalini, a privileged and restless young woman from Bangalore, sets out for a remote Himalayan village in the troubled northern region of Kashmir. Certain that the loss of her mother is somehow connected to the decade-old disappearance of Bashir Ahmed, a charming Kashmiri salesman who frequented her childhood home, she is determined to confront him. But upon her arrival, Shalini is brought face to face with Kashmir's politics, as well as the tangled history of the local family that takes her in. And when life in the village turns volatile and old hatreds threaten to erupt into violence, Shalini finds herself forced to make a series of choices that could hold dangerous repercussions for the very people she has come to love.",far field novel wake mother death shalini privileged restless young woman bangalore set remote himalayan village troubled northern region kashmir certain loss mother somehow connected decadeold disappearance bashir ahmed charming kashmiri salesman frequented childhood home determined confront upon arrival shalini brought face face kashmir politics well tangled history local family take life village turn volatile old hatred threaten erupt violence shalini find forced make series choice could hold dangerous repercussion people come love,0
Terry Pratchett: BBC Radio Drama Collection: Seven BBC Radio 4 Full-Cast Dramatisations,Terry Pratchett,4.8,110,1093.0,A collection of the full-cast BBC Radio dramatisations of novels by Terry Pratchett.,793.0,Fantasy Dramatisations,5,51-200,Terry Pratchett: BBC Radio Drama Collection: Seven BBC Radio 4 Full-Cast Dramatisations A collection of the full-cast BBC Radio dramatisations of novels by Terry Pratchett.,terry pratchett bbc radio drama collection seven bbc radio fullcast dramatisation collection fullcast bbc radio dramatisation novel terry pratchett,0
Company of One: Why Staying Small Is the Next Big Thing for Business,Paul Jarvis,4.5,237,683.0,"Penguin presents the audiobook edition of Company of One by Paul Jarvis, read by Sam Woolf. ",497.0,Creativity,11,201-500,"Company of One: Why Staying Small Is the Next Big Thing for Business Penguin presents the audiobook edition of Company of One by Paul Jarvis, read by Sam Woolf. ",company one staying small next big thing business penguin present audiobook edition company one paul jarvis read sam woolf,3
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.7,7312,888.0,"Penguin presents the audiobook edition of Daring Greatly, written and read by Brené Brown.",390.0,Self-Esteem,5,5001-20000,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead Penguin presents the audiobook edition of Daring Greatly, written and read by Brené Brown.",daring greatly courage vulnerable transforms way live love parent lead penguin present audiobook edition daring greatly written read bren brown,3
The Unbearable Lightness of Being,Milan Kundera,4.4,674,569.0,"A young woman is in love with a successful surgeon, a man torn between his love for her and his incorrigible womanizing. His mistress, a free-spirited artist, lives her life as a series of betrayals - while her other lover, earnest, faithful, and good, stands to lose everything because of his noble qualities. ",576.0,Classic Literature,126,501-1000,"The Unbearable Lightness of Being A young woman is in love with a successful surgeon, a man torn between his love for her and his incorrigible womanizing. His mistress, a free-spirited artist, lives her life as a series of betrayals - while her other lover, earnest, faithful, and good, stands to lose everything because of his noble qualities. ",unbearable lightness young woman love successful surgeon man torn love incorrigible womanizing mistress freespirited artist life life series betrayal lover earnest faithful good stand lose everything noble quality,0
