Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time (minutes),Genre,Rank
How Fascism Works: The Politics of Us and Them,Jason Stanley,4.6,253,754.0,"""A vital read for a nation under Trump."" (The Guardian)",344.0,Fascism,5
"Practicing the Power of Now: Teachings, Meditations, and Exercises from the Power of Now",Eckhart Tolle,4.7,1355,421.0,"Throughout the spiritual classic The Power of Now are specific practices and clear keys that show us how to discover for ourselves the 'grace, ease, and lightness' that comes when we simply quiet our thoughts and see the world before us in the present moment.",176.0,Other Religions,15
Salt: A World History,Mark Kurlansky,4.4,957,1003.0,"From its single origin, to the other discoveries made because of it, fascinating tales of salt and the people who have been involved with it through the ages are interwoven here. Fifteen recipes are included that will meet with every taste. Mark Kurlansky has produced a kaleidoscope of history, a multi-layered masterpiece that blends economic, scientific, political, religious, and culinary records into a rich and memorable tale.",828.0,Gastronomy,3
The Seven Spiritual Laws of Success,Deepak Chopra,4.5,3359,300.0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",86.0,Business Careers,73
"Feel the Fear and Do It Anyway: Dynamic Techniques for Turning Fear, Indecision, and Anger into Power, Action, and Love",Susan Jeffers PhD,4.6,2281,469.0,"""Living is taking chances, and Feel the Fear and Do It Anyway has helped so many people-both men and women-to achieve success."" (Louise Hay, the best-selling author of You Can Heal Your Life)",367.0,Personal Success,187
Business Maharajas,Gita Piramal,4.1,28,1256.0,The inside track to India's most powerful tycoons ,-60.0,Corporate Finance,999
Shadow and Bone,Leigh Bardugo,4.4,1773,668.0,"Surrounded by enemies, the once-great nation of Ravka has been torn in two by the Shadow Fold, a swath of near impenetrable darkness crawling with monsters who feast on human flesh. Now its fate may rest on the shoulders of one lonely refugee. ",561.0,Fantasy for Teens,14
Latitudes of Longing,Shubhangi Swarup,4.3,105,759.0,The phenomenal Indian best seller. ,-60.0,Budgeting,999
The Lord Of The Rings: The Two Towers (Dramatised),J. R. R Tolkien,4.8,1174,615.0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",269.0,Fantasy Dramatisations,3
The Rational Male,Rollo Tomassi,4.6,1956,836.0,"The Rational Male is a rational and pragmatic approach to intergender dynamics and the social and psychological underpinnings of intergender relations. The book is the compiled, 10-year core writing of author/blogger Rollo Tomassi from therationalmale.com. ",860.0,Personal Success,133
The Ultimate Zig Ziglar Library,Zig Ziglar,4.0,1,2008.0,"""You can get everything in life you want if you will just help enough other people get what they want."" This statement defining a philosophy of success, wealth and happiness is perhaps the most famous quote of legendary speaker, author, and businessman Zig Ziglar. Yet the monumental legacy of this incredible man can hardly be summarized by a single quote or idea. For Zig Ziglar was truly a giant in the field of personal development. ",850.0,Personal Success,221
British Rule in India,Pandit Sunderlal,4.3,11,1003.0,A freedom fighter’s telling account of the exploitation of India by the East India Company.   ,1001.0,Asian History,26
The Little Book That Builds Wealth: Morningstar's Formula for Finding Great Investments,Pat Dorsey,4.5,143,703.0," In The Little Book That Builds Wealth, Pat Dorsey, the head of Morningstar's equity research team, outlines an effective approach to investing that includes economic moats and tells you how to apply this strategy to your own investment endeavors.",294.0,Personal Finance,21
Catalyst,Chandramouli Venkatesan,4.6,555,703.0,"A good job, hard work, IQ, EQ, good communication skills - these are all ingredients for a successful life. The presence of these elements alone, however, does not guarantee success. To convert them into long-term success, you need certain stimuli which precipitate or accelerate your growth. This robustly effective book identifies the various catalysts that you can cultivate and how you can leverage them to propel yourself in your work and life.",346.0,Ageing Health,4
The Count of Monte Cristo,Alexandre Dumas,4.5,2307,1338.0,"Audie Award, Solo Narration - Male, 2009",2816.0,French Literature,1
Tell Tale,Jeffrey Archer,4.4,698,323.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
The Strange Library,Haruki Murakami,4.1,359,201.0,"On his way home from school, the young narrator of The Strange Library pops into the library, wondering how taxes were collected in the Ottoman Empire. This is his first mistake. Led to a special 'reading room' under the library by a strange old man, he finds himself imprisoned. His mother will be worrying why he hasn't returned, and the old man seems to have an appetite for eating small boys' brains. How will he escape?",62.0,Literature Anthologies,14
The Greatness Guide: 101 Lessons for Making What’s Good at Work and in Life Even Better,Robin Sharma,4.5,52,586.0,"Each one of us is called to greatness. We can have a significant impact on the world around us - if we so choose. If you are looking to craft an extraordinary life, The Greatness Guide is the powerful and practical handbook that will inspire you. Passionate, provocative, and full of big ideas that will challenge and transform, The Greatness Guide is one of those rare books that will release your potential and awaken your best self.",257.0,Personal Success,148
How India Lost Her Freedom,Pandit Sunderlal,4.5,28,1003.0,A freedom fighter's account of India's struggle for independence.,1102.0,Asian History,35
The Dead Hand: The Untold Story of the Cold War Arms Race and its Dangerous Legacy,David E. Hoffman,4.6,199,1382.0,"Pulitzer Prize, General Nonfiction, 2010",1246.0,Biological & Chemical Warfare,1
"Einstein's Relativity and the Quantum Revolution: Modern Physics for Non-Scientists, 2nd Edition",Richard Wolfson,4.3,5,1171.0,"""It doesn't take an Einstein to understand modern physics,"" says Professor Wolfson at the outset of these twenty-four lectures on what may be the most important subjects in the universe: relativity and quantum physics. Both have reputations for complexity. But the basic ideas behind them are, in fact, simple and comprehensible by anyone. These dynamic and illuminating lectures begin with a brief overview of theories of physical reality starting with Aristotle and culminating in Newtonian or ""classical"" physics. After that, you'll follow along as Professor Wolfson outlines the logic that led to Einstein's profound theory of special relativity and the simple yet far-reaching insight on which it rests. With that insight in mind, you'll move on to consider Einstein's theory of general relativity and its interpretation of gravitation in terms of the curvature of space and time. ",737.0,Astronomy,5
101 Panchtantra Stories,Dreamland Publications,4.3,1624,233.0,"The Panchatantra is a collection of short stories from India, which was written mainly for children more than 2,000 years ago. This book contains a few hand-picked stories from that legendary collection. ",101.0,Fairy Tales,8
"The Tyrant’s Tomb: The Trials of Apollo, Book 4",Rick Riordan,4.8,3176,888.0,Penguin presents the audiobook edition of The Tyrant's Tomb by Rick Riordan.  ,802.0,Action & Adventure Fantasy for Children,17
1991: How P. V. Narasimha Rao Made History,Sanjaya Baru,4.2,182,668.0,"P. V. Narasimha Rao (or PV, as he was popularly known) has been widely praised for enabling the economic reforms that transformed the country in 1991. From the vantage point of his long personal and professional association with the former prime minister, best-selling author Sanjaya Baru shows how PV's impact on the nation's fortunes went way beyond the economy. ",325.0,Biographies of Presidents & Heads of State,3
An Astronaut's Guide to Life on Earth,Chris Hadfield,4.7,2036,323.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
Social Media Marketing Workbook 2020,Jason McDonald PhD,4.5,233,836.0,Learn social media marketing in plain English - step by step!,840.0,Social Media,6
ThetaHealing®: Digging for Beliefs: How to Rewire Your Subconscious Thinking for Deep Inner Healing,Vianna Stibal,4.8,104,586.0,"ThetaHealing is a revolutionary healing modality, devised by Vianna Stibal, that taps into the brain's Theta waves to enable deep emotional and physical healing by changing our limiting beliefs. ",213.0,Alternative & Complementary Medicine,90
Willpower: Rediscovering the Greatest Human Strength,Roy F. Baumeister,4.4,658,1005.0,"One of the world's most esteemed and influential psychologists, Roy F. Baumeister, teams with New York Times science writer John Tierney to reveal the secrets of self-control and how to master it.",546.0,Compulsive Disorders,4
The Winner's Brain: 8 Strategies Great Minds Use to Achieve Success,Jeff Brown,4.5,31,656.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
The Oscar Wilde BBC Radio Drama Collection: Five Full-Cast Productions,Oscar Wilde,5.0,3,957.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
Habit of Winning,Prakash Iyer,4.6,274,703.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
Life: A User’s Manual: Philosophy for Every and Any Eventuality,Julian Baggini,5.0,2,888.0,Brought to you by Penguin.,761.0,Philosophy of Society,9
Make Your Bed: Small things that can change your life...and maybe the world,Admiral William H. McRaven,4.7,7113,615.0,"Penguin presents the unabridged downloadable audiobook edition of Make Your Bed, written and read by William H. McRaven. ",103.0,Biographies & Memoirs,79
I Have A Dream Speech,Martin Luther King Jr.,4.4,30,93.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
You Are the Placebo Meditation 1: Changing Two Beliefs and Perceptions,Dr. Joe Dispenza,4.2,230,352.0,"Dr. Joe Dispenza has created two meditation recordings - featuring different music - to accompany his book You Are the Placebo. In this longer 56-minute audio, Dr. Joe walks you through Meditation 1: Changing Two Beliefs and Perceptions. After introducing the open-focus technique, he then moves you into the practice of finding the present moment. When you discover the sweet spot of the present moment and you forget about yourself as the personality you have always been, you have access to other possibilities that already exist in the quantum field. That's because you are no longer connected to the same body-mind, to the same identification with the environment, and to the same predictable timeline. In the present moment, the familiar past and the future literally no longer exist, and you become pure consciousness - a thought alone. That is the moment that you can change your body, change your environment, and even create a new timeline for your life!",3300.0,Meditation,21
Crooked Kingdom,Leigh Bardugo,4.7,2036,1003.0,The highly anticipated sequel to the thrilling New York Times best-selling Six of Crows. ,1078.0,Suspense,80
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,4.7,1146,586.0,How can we make intelligent decisions about our increasingly technology-driven lives if we don''t understand the difference between the myths of pseudoscience and the testable hypotheses of science? Pulitzer Prize-winning author and distinguished astronomer Carl Sagan argues that scientific thinking is critical not only to the pursuit of truth but to the very well-being of our democratic institutions. ,1043.0,Philosophy & Science,12
How to Be a Woman,Caitlin Moran,4.1,1728,683.0,"1913 - Suffragette throws herself under the King's horse. 1969 - Feminists storm Miss World. Now - Caitlin Moran rewrites The Female Eunuch from a bar stool and demands to know why pants are getting smaller. There's never been a better time to be a woman: We have the vote and the Pill, and we haven't been burnt as witches since 1727. However, a few nagging questions do remain.... ",524.0,English,7
To All the Boys I've Loved Before,Jenny Han,4.7,2501,820.0,To All the Boys I’ve Loved Before is now a major motion picture streaming on Netflix! ,524.0,Movie,1
Common Sense on Mutual Funds: Fully Updated 10th Anniversary Edition,John C Bogle,4.3,42,1641.0,"John Bogle - founder of the Vanguard Mutual Fund Group and creator of the first index mutual fund - is an industry pioneer. Over the years, he has single-handedly transformed the mutual fund business, and today, his vision continues to inspire investors .It has been over a decade since the original edition of Common Sense on Mutual Funds was first published. While much has changed during this time, the importance of investing and the issues addressed in the original edition of this book have not. Now, in the Fully Updated 10th Anniversary Edition of Common Sense on Mutual Funds, Bogle returns to update his in-depth look at mutual funds and the business of investing - helping you navigate through the staggering array of investment options found in today's evolving investment landscape.",1249.0,Mutual Funds,4
"Cognitive Behavioral Therapy Made Simple: 10 Strategies for Managing Anxiety, Depression, Anger, Panic, and Worry",Seth J. Gillihan PhD,4.6,1015,668.0,"In his new book, the author of the best-selling Retrain Your Brain: Cognitive Behavioral Therapy in 7 Days delivers 10 easy, yet essential strategies for applying CBT to everyday issues with Cognitive Behavioral Therapy Made Simple.  ",346.0,Cognitive Behavioural Psychology,2
The Last Law of Attraction Book You’ll Ever Need to Read: The Missing Key to Finally Tapping into the Universe and Manifesting Your Desires,Andrew Kap,4.7,425,501.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
Blockchain Revolution,Don Tapscott,4.0,87,820.0,"Penguin presents the audiobook edition of Blockchain Revolution by Don and Alex Tapscott, read by John Chancer. ",-60.0,Climate Change,999
Be Obsessed or Be Average,Grant Cardone,4.6,872,656.0,From the millionaire entrepreneur and New York Times bestselling author of The 10X Rule comes a bold and contrarian wake-up call for anyone truly ready for success. ,664.0,Business Motivation & Self-Improvement,61
"The Last Straw: Diary of a Wimpy Kid, Book 3",Jeff Kinney,4.6,3177,410.0,Brought to you by Puffin. ,157.0,Fiction on Parents for Children,2
Girl Decoded: My Quest to Make Technology Emotionally Intelligent - and Change the Way We Interact Forever,Rana el Kaliouby,4.9,38,888.0,Brought to you by Penguin.,703.0,Technology & Society,11
Jurassic Park: A Novel,Michael Crichton,4.7,3219,1005.0,Featured title in the 2018 PBS Great American Reads,910.0,Science Fiction Movie,4
The David Wolf Mystery Thriller Series: Books 1-4,Jeff Carson,4.5,324,1003.0,"If you love mysteries with action, suspense and a touch of humor and romance, then the David Wolf series is for you.",1696.0,Police Procedural Mysteries,6
The Remains of the Day,Kazuo Ishiguro,4.4,1703,531.0,From the winner of the 2017 Nobel Prize for Literature ,425.0,Historical Fiction,35
Karna's Wife: The Outcast's Queen,Kavita Kane,4.3,355,836.0,"Karna's Wife: The Outcast's Queen tells the extraordinary story of Karna, the unsung hero of the Mahabharata, through the eyes of his wife, Uruvi, bringing his story to the listener from a unique perspective. An accomplished Kshatriya princess who falls in love with and dares to choose the sutaputra over Arjun, Uruvi must come to terms with the social implications of her marriage and learn to use her love and intelligence to be accepted by Karna and his family. Though she becomes his mainstay, counselling and guiding him, his blind allegiance to Duryodhana is beyond her power to change. ",789.0,Contemporary Fiction,27
Vishnu Ke Saat Rahasya [Seven Secrets of Vishnu],Devdutt Pattanaik,4.1,45,501.0,"One of the three Gods of Trinity in Hinduism is Lord Vishnu, also called the Lord of the world. In mythological texts, Vishnu is considered as the 10 incarnations of Dashavtar. Shri Ram and Shri Krishna are his most important incarnations. Vishnu's residence is in two different places: in the world, in Baikunth, and second, in the Kshir-Sagar, where he is seated on the eternal balance. In Bhagavad Gita, Vishnu has been considered as Vishwaroop or Virat Purusha. This book attempts to unlock the seven secrets of Vishnu that are relevant even in modern times.",252.0,Hinduism,40
Gotta Have It: 69 Stories of Sudden Sex,Rachel Kramer Bussel,3.2,10,668.0,"Rachel Kramer Bussel has collected a wide and wild variety of original erotica stories that are deliciously short - just one orgasmic bite at a time. In 1,200 words or less, these authors explore every which way you can ""get it on"", including threesomes, sex toys, public sex, BDSM, fetishes, and much more. Get ""Anal-yzed"", learn ""The Advantage of Working from Home"", and spy some risqué ""Vacation Pictures"". There are pecan rolls dripping in caramel and meals where lovers feast on nothing but each other. From crossword puzzles to Godzilla, these tales are perfect for reading aloud before you live out your own frisky fantasy. For those who like their sex quick and naughty, Gotta Have It has a host of erotic offerings to get you going.",479.0,Literature Anthologies,17
Bandhan: The Making of a Bank,Tamal Bandyopadhyay,4.1,65,879.0,"This is the story of Bandhan, the only bank that emerged in eastern India after Independence. Founded by the son of a sweet vendor, with a mere Rs 2 lakh, the sum total of his life savings.",483.0,Biographies & Memoirs,162
Waking Up,Sam Harris,4.3,1502,888.0,"For the millions of people who want spirituality without religion, Sam Harris’ new book is a guide to meditation as a rational spiritual practice informed by neuroscience and psychology. ",351.0,Agnosticism,3
"The Hidden Oracle: The Trials of Apollo, Book One",Rick Riordan,4.6,3003,888.0,"Penguin presents the unabridged, downloadable audiobook edition of The Hidden Oracle: The Trials of Apollo, Book One, by Rick Riordan, read by Robbie Daymond. ",634.0,Fantasy,51
Shyam: An Illustrated Retelling of the Bhagavata,Devdutt Pattanaik,4.6,177,703.0,"In the forest of insecurities, is it possible to discover humanity through pleasure? Can we stop seeing each other as predator, prey, rival, or mate, and rediscover ourselves as lovers? Does the divine reside in sensual delight, in emotional intimacy and in aesthetic experience?",327.0,History of Religion,4
"Parallel Worlds: A Journey Through Creation, Higher Dimensions, and the Future of the Cosmos",Michio Kaku,4.7,460,1131.0,Is our universe dying? ,890.0,Cosmology,13
"The School of Greatness: A Real-World Guide to Living Bigger, Loving Deeper, and Leaving a Legacy",Lewis Howes,4.6,524,668.0,"When a career-ending injury left elite athlete and professional football player Lewis Howes out of work and living on his sister's couch, he decided he needed to make a change for the better. He started by reaching out to people he admired, searching for mentors, and applying his past coaches' advice from sports to life off the field. Lewis did more than bounce back: He built a multimillion-dollar online business and is now a sought-after business coach, speaker, and podcast host. ",399.0,Microeconomics,14
Chanakya's 7 Secrets of Leadership,D. Sivanandhan,4.2,227,668.0,"Chanakya, who lived in India in the fourth century BC, was a leadership guru par excellence. The treasure of his teachings can be found in his book The Arthashastra, which deals with good governance based on ideal leadership. ",443.0,Leadership,19
"Sex at Dawn: How We Mate, Why We Stray, and What It Means for Modern Relationships",Christopher Ryan,4.5,1280,836.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
Investment Banking for Dummies,Matthew Krantz,4.4,63,836.0,Enrich your career with a review of investment banking basics ,897.0,Banks & Banking,3
"The Simple Path to Wealth: Your Road Map to Financial Independence and a Rich, Free Life",JL Collins,4.7,1403,668.0,This book grew out of a series of letters to my daughter concerning various things - mostly about money and investing - she was not yet quite ready to hear. ,398.0,Retirement Planning,2
Megaliving (Hindi): From the Monk Who Sold His Ferrari,Robin Sharma,4.3,69,668.0,"We all have the potential for a perfect life - to achieve great things and live a life filled with joy, accomplishment and pure bliss. In some of us, this potential is slumbering deep inside, waiting to be tapped and tested. National best seller Megaliving will quickly make things happen in every aspect of your life, with the finest strategies and techniques available to profoundly improve your mind, body and character. This book contains the revolutionary results of over 10 years of research with the leading principles of personal mastery and successful living and reveal to you the 200 master secrets for making your life a magical dream. ",564.0,Personal Success,147
Servant Leadership in Action: How You Can Achieve Great Relationships and Results,Ken Blanchard,4.5,101,668.0,"We've seen the negative impact of self-serving leaders in every sector of our society. Not infrequently, they end up bringing down their entire organization. But there is another way. Servant leaders lead by serving their people, not by exalting themselves. In this collection, edited by legendary business author and lifelong servant leader Ken Blanchard and his longtime editor Renee Broadwell, leading businesspeople, best-selling authors, and spiritual leaders offer tools for implementing this proven - but for some, still radical - leadership model.",591.0,Christian Spiritual Growth,3
Benedict Cumberbatch Reads Sherlock Holmes' Rediscovered Railway Stories: Four Original Short Stories,John Taylor,4.6,131,615.0,"Benedict Cumberbatch reads these four new Sherlock Holmes stories by John Taylor: 'An Inscrutable Masquerade', 'The Conundrum of Coach 13', 'The Trinity Vicarage Larceny' and 'The 10.59 Assassin'. ",124.0,Action & Adventure Anthologies & Short Stories,1
At the Eleventh Hour: The Biography of Swami Rama,Pandit Rajmani Tigunait Ph.D.,4.7,14,444.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
"Old School: Diary of a Wimpy Kid, Book 10",Jeff Kinney,4.6,4924,410.0,Brought to you by Puffin. ,129.0,Humorous Fiction for Children,30
Women Who Run with the Wolves: Myths and Stories of the Wild Woman Archetype,Clarissa Pinkola Estes,4.6,3610,585.0,"Drawing from her work as a psychoanalyst and cantadora (keeper of old stories), Dr. Estes uses myths and folktales to illustrate how societies systematically strip away the feminine spirit. Through an exploration into the nature of the wild woman archetype, Dr. Estes helps listeners rediscover and free their own wild nature.",-60.0,Metaphysics,999
The Thank You Economy,Gary Vaynerchuk,4.6,314,10378.0,"If this were 1923, this book would have been called ""Why Radio Is Going to Change the Game"" . . .",341.0,Customer Service,5
Fingerprints of the Gods: The Quest Continues,Graham Hancock,4.7,1410,873.0,"Pulling together the myths, legends and stories handed down from generation to generation, all around the world, Graham Hancock presents his own, unique interpretation of history in this fascinating audiobook. ",1111.0,Literary History & Criticism,1
The Mantram Handbook: A Practical Guide to Choosing Your Mantram & Calming Your Mind,Eknath Easwaran,4.3,22,351.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
Daisy Jones and the Six,Taylor Jenkins Reid,4.4,3669,888.0,Brought to you by Penguin. ,543.0,Contemporary Romance,70
The Book on Rental Property Investing: How to Create Wealth and Passive Income Through Smart Buy & Hold Real Estate Investing,Brandon Turner,4.7,1807,836.0,"Practical, real-world advice for those looking to build wealth and cash flow through rental properties! ",698.0,Real Estate Investments,1
281 and Beyond,VVS Laxman,4.5,204,1003.0,"A stylish batsman who could score against any kind of bowling, VVS Laxman played over a hundred Tests to aggregate more than 8,000 runs. Cricket fans still remember with awe his game-changing knock of 281 against Australia in 2001 at Eden Gardens. But playing for India was never easy. He was dropped as often as he was picked, and despite his vast experience and unimpeachable skill, he never made it to a World Cup team.  ",1049.0,Cricket,4
Can Love Happen Twice,Ravinder Singh,4.3,1304,703.0,"In today's generation, love and relationships have lost the profound effect that they used to have. In a generation where people want to experience non-committal relationships; where love has been reduced to physical intimacy and larger-than-life displays of feelings, Ravinder Singh pens down his story where he portrays the long lost charm and magic of commitment and love. But, after having experienced the terrible loss of a loved one, is it possible to love someone that deeply and immensely again? Can you bare your soul and let yourself vulnerable in front of someone again, knowing that you are risking yet another terrible heartbreak? ",341.0,Romance,128
"Emotional Agility: Get Unstuck, Embrace Change and Thrive in Work and Life",Susan David,4.6,549,683.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
A Wrinkle in Time,Madeleine L'Engle,4.5,3677,904.0,"Madeleine L'Engle's groundbreaking science fiction and fantasy classic, soon to be a major motion picture. This movie tie-in audiobook includes an introduction read by director Ava DuVernay, a foreword read by the author, and an afterword read by Madeleine L’Engle’s granddaughter Charlotte Jones Voiklis. ",387.0,Time Travel Science Fiction for Children,2
May Cause Miracles: A 40-Day Guidebook of Subtle Shifts for Radical Change and Unlimited Happiness,Gabrielle Bernstein,4.4,782,754.0,From the popular and exciting author of Spirit Junkie and Add More ~Ing to Your Life comes this practical and fun 40-day guidebook of subtle shifts for radical change and unlimited happiness. ,340.0,Mental & Spiritual Healing,47
The Girl With the Dragon Tattoo,Stieg Larsson,4.4,7678,949.0,"Forty years ago, Harriet Vanger disappeared from a family gathering on the island owned and inhabited by the powerful Vanger clan. Her body was never found, yet her uncle is convinced it was murder - and that the killer is a member of his own tightly knit but dysfunctional family. ",1126.0,International Mystery & Crime,7
Capital: Volume 1: A Critique of Political Economy,Karl Marx,4.4,283,2004.0,"It can be said of very few books that the world was changed as a result of its publication - but this is certainly the case of Capital: A Critique of Political Economy by Karl Marx (1818-1883). Volume 1 appeared (in German) in 1867, and the two subsequent volumes appeared at later dates after the author's death - completed from extensive notes left by Marx himself.",2584.0,Communism & Socialism,5
The Mom Test: How to Talk to Customers & Learn If Your Business Is a Good Idea When Everyone Is Lying to You,Rob Fitzpatrick,4.7,228,501.0,"The Mom Test is a quick, practical guide that will save you time, money, and heartbreak.",230.0,Business Sales,36
Byomkesh Bakshi Stories,Saradindu Bandopadhyay,4.4,45,668.0,"Detective fiction has never lacked devoted fans. The undying popularity of Sherlock Holmes and Hercule Poirot vouch for that fact. In the early thirties, a detective by the name of Byomkesh Bakshi made an unobtrusive entry into the world of Bengali fiction. He preferred calling himself a satyanneshi, a seeker of truth, and within days was a household name, courtesy his cerebral skills and the exciting situations he found himself in. In the tradition of Doyle and Christie, Byomkesh is accompanied on his adventures by his friend, Ajit, slightly obtuse and the perfect foil to him.",386.0,Traditional Detective Mysteries,11
Soft Skills: The Software Developer's Life Manual,John Sonmez,4.3,180,836.0,"For most software developers, coding is the fun part. The hard bits are dealing with clients, peers, and managers and staying productive, achieving financial security, keeping yourself in shape, and finding true love. This book is here to help. ",799.0,Programming,3
"Thou Shall Prosper: Ten Commandments for Making Money, 2nd Edition",Rabbi Daniel Lapin,4.7,602,836.0,A practical approach to creating wealth-based on the established principles of ancient Jewish wisdom-made accessible to people of all backgrounds,1073.0,Judaism,9
"Superfreakonomics: Global Cooling, Patriotic Prostitutes and Why Suicide Bombers Should Buy Life Insurance",Stephen J. Dubner,4.5,1154,683.0,"Penguin presents the audiobook edition of Superfreakonomics by Stephen J. Dubner and Steven Levitt, read by Stephen J. Dubner.",447.0,Microeconomics,2
The Philosophy Book: Big Ideas Simply Explained,DK,4.6,994,1256.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
"The China Study, Revised and Expanded Edition: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet, Weight Loss, and Long-Term Health",T. Colin Campbell PhD,4.8,1500,820.0,Here is the updated and expanded edition of the best seller that changed millions of lives. ,1082.0,Weight Loss Diets,15
How Brands Grow: What Marketers Don't Know,Byron Sharp,4.5,174,668.0,"This audiobook provides evidence-based answers to the key questions asked by marketers every day. Tackling issues such as how brands grow, how advertising really works, what price promotions really do and how loyalty programs really affect loyalty, How Brands Grow presents decades of research in a style that is written for marketing professionals to grow their brands. ",394.0,Consumer Behaviour,11
Inward,Yung Pueblo,4.9,1461,398.0,"True power is living the realization that you are your own healer, hero, and leader.",-60.0,Personal Success,999
Profit First: Transform Your Business from a Cash-Eating Monster to a Money-Making Machine,Mike Michalowicz,4.8,1959,703.0,"The author of cult classics The Pumpkin Plan and The Toilet Paper Entrepreneur offers a simple, counterintuitive cash management solution that will help small businesses break out of the doom spiral and achieve instant profitability. ",515.0,International Business,13
Passage Meditation - A Complete Spiritual Practice: Train Your Mind and Find a Life That Fulfills,Eknath Easwaran,4.7,189,350.0,"Easwaran's classic manual is a unique source of practical spiritual support for new and experienced meditators and gives all the instruction needed to establish a vibrant meditation practice and keep it going. In passage meditation you focus attention on passages, or texts, drawn from all the world's sacred traditions. You choose the passages that appeal to you, so this universal method stays fresh and inspiring, prompting you to live out your highest ideals.",495.0,Psychology Movements,3
The Brave: Param Vir Chakra Stories,Rachna Bisht,4.7,568,1005.0,Twenty-one riveting stories from the battlefield about how India's highest military honor was won,490.0,Indian History,17
The Girl of My Dreams,Durjoy Datta,4.3,1051,879.0,We are in the car. She’s looking at me. I can see the love in her eyes for me. Then a huge crash. She’s flung out of the window. I’m thrown out too. A pool of blood. Her eyes are still on me...but now it’s a death stare.,463.0,Fantasy Romance,5
The Story of World War II,Donald L. Miller,4.4,45,1338.0,"Drawing on previously unpublished eyewitness accounts, prizewinning historian Donald L. Miller has written what critics are calling one of the most powerful accounts of warfare ever published. Here are the horror and heroism of World War II in the words of the men who fought it, the journalists who covered it, and the civilians who were caught in its fury. Miller gives us an up-close, deeply personal view of a war that was more savagely fought - and whose outcome was in greater doubt - than one might imagine. This is the war that Americans on the home front would have read about had they had access to the previously censored testimony of the soldiers on which Miller builds his gripping narrative. ",1492.0,World War II History,8
Neville Goddard: The Complete Reader,Neville Goddard,4.8,391,836.0,"Neville Goddard: The Complete Reader, Includes all 10 of Neville Goddard's Spiritual Classics: At Your Command, Awakened Imagination & the Search, Feeling is the Secret, Freedom For All, Out of This World, Prayer, The Art of Believing, Seedtime and Harvest, The Law and The Promise, The Power of Awareness, and Your Faith Is Your Fortune.",886.0,Mysticism,4
Exactly What to Say: The Magic Words for Influence and Impact,Phil M. Jones,4.5,1023,233.0,"Often the decision between a customer choosing you over someone like you is your ability to know exactly what to say, when to say it, and how to make it count. Phil M. Jones has trained more than two million people across five continents and over 50 countries in the lost art of spoken communication. In Exactly What to Say, he delivers the tactics you need to get more of what you want.",74.0,Consumer Behaviour,3
Capital in the Twenty-First Century,Thomas Piketty,4.5,2153,1338.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
My Lovely Wife,Samantha Downing,4.3,1680,888.0,"Penguin presents the audiobook edition of My Lovely Wife, by Samantha Downing",613.0,Domestic Thrillers,1
